"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",11.4251951184436,0.0990760556169866,24.585365249619,1.76767778433026e-28,9.36056544831842,13.9452134825847
"any_drug_ever_used_factorEver Used",0.308219819438178,0.0744209599419553,-15.8146582900069,1.90675365429308e-20,0.265362699537233,0.357998532801229
"IRSEXFemale",0.243897164513302,0.092258123619228,-15.2941393569106,7.15354985048564e-20,0.202582512874311,0.293637520897649
"NEWRACE2",0.983692530775516,0.0172033274349332,-0.955739495435575,0.344094127482328,0.950230653922715,1.01833275016851
