"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",12.7642212333658,0.189439146254654,13.4430823365679,5.34353893917831e-17,8.71116548926091,18.7030477029922
"any_drug_ever_used_factorEver Used",0.309810908182338,0.0742185062991906,-15.7884225868699,1.66211626741617e-19,0.266743161922179,0.359832275126016
"IRSEXFemale",0.242758624364092,0.0929590316051078,-15.2291565460172,6.22633806615868e-19,0.201260055529817,0.292813939398002
"NEWRACE2",0.98321016516513,0.0170361349155196,-0.993909828125937,0.32582710945683,0.950004058477653,1.01757694639026
"EDUSCHGRD2",0.998168724844528,0.00124115983576468,-1.47680736752809,0.147014074527979,0.995673395489984,1.00067030792506
"EDFAM18",0.973766157740928,0.0104224006765224,-2.55066845388812,0.0143941533638982,0.953512387171265,0.994450143195901
"IMOTHER",0.946950854911224,0.126206148454304,-0.431897204402091,0.667974163683863,0.734160919677835,1.22141603779536
"IFATHER",0.985294165853997,0.0869390638919434,-0.170407135704971,0.865489241114804,0.826839755448342,1.17411455710607
