"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",16.3319996239168,0.115140619369917,24.2583926134386,1.02161386813234e-26,12.947764678303,20.6007923639974
"any_drug_ever_used_factorEver Used",0.301119791250513,0.0654797740177178,-18.3300436483502,6.118820067071e-22,0.263869750923005,0.343628355905071
"CATAG218-25",0.876427837930797,0.0691121635817003,-1.90850497182944,0.063015875302908,0.762403855974011,1.00750507632039
"CATAG226-34",2.15849096735492,0.0713323750544558,10.7862573022573,8.25789950865227e-14,1.86928107858807,2.4924465932496
"IRSEXFemale",0.530573211565703,0.0422904123924035,-14.9867851779887,1.11526899646401e-18,0.487198291002378,0.577809770744393
"NEWRACE2",1.04247836469158,0.00719681113928136,5.78046587257967,7.62104586590213e-07,1.02745736056964,1.05771896971716
"EDUHIGHCAT",0.808812543398124,0.0216672062431754,-9.7930531681023,1.6221947065949e-12,0.774231628485293,0.844938008587916
"POVERTY3",1.10966220034805,0.0306356670771279,3.3965522844845,0.00147941328437414,1.04317915915304,1.18038228436332
